Make_ID,Make_Name,Model_ID,Model_Name,MSRP,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Displacement,Cylinder,Vehicle Class,EPA Air Pollution Score
452,BMW,9452,740iL,,,,,,,,,,,,,,,,,,
452,BMW,9453,750iL,,,,,,,,,,,,,,,,,,
452,BMW,9459,M3Ci,,,,,,,,,,,,,,,,,,
452,BMW,9568,340i,,,,,,,,,,,,,,,,,,
452,BMW,9569,330e,,,,,,,,,,,,,,,,,,
452,BMW,10587,328Ci,,,,,,,,,,,,,,,,,,
452,BMW,13425,735i,,,,,,,,,,,,,,,,,,
452,BMW,13426,735iL,,,,,,,,,,,,,,,,,,
452,BMW,13427,850i,,,,,,,,,,,,,,,,,,
452,BMW,13429,325ix,,,,,,,,,,,,,,,,,,
452,BMW,13431,325/325e,,,,,,,,,,,,,,,,,,
452,BMW,13437,635CSi,,,,,,,,,,,,,,,,,,
452,BMW,13438,535i/535is,,,,,,,,,,,,,,,,,,
452,BMW,13439,L7,,,,,,,,,,,,,,,,,,
452,BMW,13442,524td,,,,,,,,,,,,,,,,,,
452,BMW,13448,528e,,,,,,,,,,,,,,,,,,
452,BMW,13449,325e,,,,,,,,,,,,,,,,,,
452,BMW,13459,325i/325is,,,,,,,,,,,,,,,,,,
452,BMW,13825,230i,,,,,,,,,,,,,,,,,,
452,BMW,13826,M240i,,,,,,,,,,,,,,,,,,
452,BMW,13827,430i,,,,,,,,,,,,,,,,,,
452,BMW,13828,440i,,,,,,,,,,,,,,,,,,
452,BMW,13834,B7,,,,,,,,,,,,,,,,,,
452,BMW,13835,740e,,,,,,,,,,,,,,,,,,
452,BMW,13868,750i / ALPINA B7,,,,,,,,,,,,,,,,,,
452,BMW,14503,533i,,,,,,,,,,,,,,,,,,
452,BMW,14504,633 csi,,,,,,,,,,,,,,,,,,
452,BMW,14505,733i,,,,,,,,,,,,,,,,,,
452,BMW,19172,730i,,,,,,,,,,,,,,,,,,
452,BMW,20811,540d,,,,,,,,,,,,,,,,,,
452,BMW,20813,530e,,,,,,,,,,,,,,,,,,
